"question_id","asset_kind","placeholder_src","reason"
"g3-diagnostic-letter-listening-01","audio","tts:B","placeholder_asset_requires_production_and_integrity_evidence"
"g3-diagnostic-phonological-awareness-01","audio","tts:moon","placeholder_asset_requires_production_and_integrity_evidence"
"g3-diagnostic-cvc-01","audio","tts:cat","placeholder_asset_requires_production_and_integrity_evidence"
"g3-cvc-practice-03","audio","tts:bed","placeholder_asset_requires_production_and_integrity_evidence"
"g3-cvc-practice-05","image","scene:red-object-on-hook","placeholder_asset_requires_production_and_integrity_evidence"
"g3-cvc-review-01","audio","tts:map","placeholder_asset_requires_production_and_integrity_evidence"
"g4-diagnostic-image-sentence-01","image","scene:child-reading-book","placeholder_asset_requires_production_and_integrity_evidence"
"g4-yes-no-practice-05","image","scene:three-red-apples","placeholder_asset_requires_production_and_integrity_evidence"
"g4-yes-no-rescue-01","image","scene:single-cat","placeholder_asset_requires_production_and_integrity_evidence"
"g4-yes-no-review-02","image","scene:two-cardboard-boxes","placeholder_asset_requires_production_and_integrity_evidence"
"g5-diagnostic-weather-01","audio","tts:It%20is%20rainy%20today.","placeholder_asset_requires_production_and_integrity_evidence"
"g5-diagnostic-image-sentence-01","image","scene:child-riding-bicycle","placeholder_asset_requires_production_and_integrity_evidence"
"g6-diagnostic-progressive-01","image","scene:girl-reading-at-desk","placeholder_asset_requires_production_and_integrity_evidence"
"g6-progressive-practice-01","image","scene:girl-reading-on-sofa","placeholder_asset_requires_production_and_integrity_evidence"
"g6-progressive-practice-02","image","scene:children-playing-soccer","placeholder_asset_requires_production_and_integrity_evidence"
"g6-progressive-review-02","image","scene:two-children-dancing","placeholder_asset_requires_production_and_integrity_evidence"
"g3-review-letter-listening-01","audio","tts:E","placeholder_asset_requires_production_and_integrity_evidence"
"g3-review-letter-listening-02","audio","tts:M","placeholder_asset_requires_production_and_integrity_evidence"
"g3-review-letter-listening-03","audio","tts:V","placeholder_asset_requires_production_and_integrity_evidence"
"g3-review-letter-listening-04","audio","tts:J","placeholder_asset_requires_production_and_integrity_evidence"
"g3-review-letter-listening-05","audio","tts:G","placeholder_asset_requires_production_and_integrity_evidence"
"g3-review-letter-listening-06","audio","tts:B%2C%20D","placeholder_asset_requires_production_and_integrity_evidence"
"g3-review-letter-listening-07","audio","tts:A%2C%20T%2C%20P","placeholder_asset_requires_production_and_integrity_evidence"
"g3-review-phonological-awareness-03","audio","tts:fish","placeholder_asset_requires_production_and_integrity_evidence"
"g3-review-cvc-decoding-04","audio","tts:sun","placeholder_asset_requires_production_and_integrity_evidence"
"g3-review-cvc-decoding-06","audio","tts:pig%2C%20pen","placeholder_asset_requires_production_and_integrity_evidence"
"g4-review-image-sentence-01","image","scene:boy-feeding-dog-in-yard","placeholder_asset_requires_production_and_integrity_evidence"
"g4-review-image-sentence-02","image","scene:girl-drinking-milk-at-breakfast","placeholder_asset_requires_production_and_integrity_evidence"
"g4-review-image-sentence-03","image","scene:two-girls-jumping-rope-on-playground","placeholder_asset_requires_production_and_integrity_evidence"
"g4-review-image-sentence-04","image","scene:cat-under-chair-in-bedroom","placeholder_asset_requires_production_and_integrity_evidence"
"g4-review-image-sentence-05","image","scene:family-picnic-dad-cutting-watermelon","placeholder_asset_requires_production_and_integrity_evidence"
"g4-review-image-sentence-06","image","scene:teacher-writing-monday-on-board","placeholder_asset_requires_production_and_integrity_evidence"
"g4-review-image-sentence-07","image","scene:boy-riding-bike-girl-flying-kite-in-park","placeholder_asset_requires_production_and_integrity_evidence"
"g4-review-cvc-01","audio","tts:cat","placeholder_asset_requires_production_and_integrity_evidence"
"g4-review-cvc-03","image","scene:bright-sun-over-green-hill","placeholder_asset_requires_production_and_integrity_evidence"
"g5-review-weather-01","audio","tts:Good%20morning!%20It%20is%20sunny%20and%20warm%20today.","placeholder_asset_requires_production_and_integrity_evidence"
"g5-review-weather-02","audio","tts:It%20will%20rain%20this%20afternoon%2C%20Noah.%20Take%20an%20umbrella%20to%20school.","placeholder_asset_requires_production_and_integrity_evidence"
"g5-review-weather-03","audio","tts:The%20wind%20is%20strong%20at%20the%20playground.%20Hold%20on%20to%20your%20hat.","placeholder_asset_requires_production_and_integrity_evidence"
"g5-review-weather-04","audio","tts:There%20are%20many%20gray%20clouds%20in%20the%20sky.%20I%20cannot%20see%20the%20bright%20sun.","placeholder_asset_requires_production_and_integrity_evidence"
"g5-review-weather-05","audio","tts:It%20is%20cold%20in%20the%20morning%2C%20but%20it%20will%20be%20warm%20after%20twelve%20o'clock.","placeholder_asset_requires_production_and_integrity_evidence"
"g5-review-weather-06","audio","tts:It%20is%20raining%20now%2C%20so%20our%20class%20picnic%20will%20be%20in%20the%20school%20gym%2C%20not%20in%20the%20park.","placeholder_asset_requires_production_and_integrity_evidence"
"g5-review-weather-07","audio","tts:Saturday%20will%20be%20sunny%20and%20dry.%20Sunday%20will%20be%20rainy%20and%20windy.%20Ella%20wants%20to%20ride%20her%20bike%20on%20a%20dry%20day.","placeholder_asset_requires_production_and_integrity_evidence"
"g5-review-image-01","image","scene:girl-feeding-fish-by-pond","placeholder_asset_requires_production_and_integrity_evidence"
"g5-review-image-02","image","scene:boy-closing-window-during-rain","placeholder_asset_requires_production_and_integrity_evidence"
"g5-review-image-03","image","scene:family-eating-breakfast-at-table","placeholder_asset_requires_production_and_integrity_evidence"
"g5-review-image-04","image","scene:two-dogs-sleeping-under-table","placeholder_asset_requires_production_and_integrity_evidence"
"g5-review-image-05","image","scene:child-choosing-books-in-library","placeholder_asset_requires_production_and_integrity_evidence"
"g5-review-image-06","image","scene:children-waiting-for-bus-at-seven-thirty","placeholder_asset_requires_production_and_integrity_evidence"
"g5-review-image-07","image","scene:boy-walking-bike-past-no-bikes-sign","placeholder_asset_requires_production_and_integrity_evidence"
